"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Apr 21 08:27:15 UTC 2024","Sun Apr 21 08:27:15 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sun Apr 21 05:41:52 UTC 2024","Sun Apr 21 05:42:08 UTC 2024","15775","","9. Client Portal - Home","","","","1. Check links",""
"broken","Sun Apr 21 08:27:15 UTC 2024","Sun Apr 21 08:27:15 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"skipped","Sun Apr 21 08:27:15 UTC 2024","Sun Apr 21 08:27:15 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sun Apr 21 06:44:19 UTC 2024","Sun Apr 21 06:44:29 UTC 2024","9778","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"skipped","Sun Apr 21 08:27:15 UTC 2024","Sun Apr 21 08:27:15 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun Apr 21 05:39:12 UTC 2024","Sun Apr 21 05:40:17 UTC 2024","64796","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun Apr 21 07:30:21 UTC 2024","Sun Apr 21 07:30:28 UTC 2024","6851","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Apr 21 06:44:05 UTC 2024","Sun Apr 21 06:44:07 UTC 2024","1372","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sun Apr 21 06:49:39 UTC 2024","Sun Apr 21 06:53:44 UTC 2024","245599","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sun Apr 21 05:59:24 UTC 2024","Sun Apr 21 05:59:24 UTC 2024","219","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Apr 21 06:01:33 UTC 2024","Sun Apr 21 06:01:38 UTC 2024","4923","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Sun Apr 21 06:19:53 UTC 2024","Sun Apr 21 06:19:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sun Apr 21 06:44:07 UTC 2024","Sun Apr 21 06:44:19 UTC 2024","12788","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Sun Apr 21 05:57:05 UTC 2024","Sun Apr 21 05:57:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Apr 21 06:43:32 UTC 2024","Sun Apr 21 06:43:42 UTC 2024","10132","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sun Apr 21 06:01:38 UTC 2024","Sun Apr 21 06:01:40 UTC 2024","1489","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Sun Apr 21 06:19:53 UTC 2024","Sun Apr 21 06:19:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Apr 21 05:59:06 UTC 2024","Sun Apr 21 05:59:22 UTC 2024","15744","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sun Apr 21 06:43:55 UTC 2024","Sun Apr 21 06:44:05 UTC 2024","10343","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Sun Apr 21 05:57:05 UTC 2024","Sun Apr 21 05:57:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"failed","Sun Apr 21 06:44:29 UTC 2024","Sun Apr 21 06:47:01 UTC 2024","152085","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Sun Apr 21 05:57:05 UTC 2024","Sun Apr 21 05:57:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Apr 21 06:43:42 UTC 2024","Sun Apr 21 06:43:45 UTC 2024","2644","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"skipped","Sun Apr 21 08:27:15 UTC 2024","Sun Apr 21 08:27:15 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Sun Apr 21 05:57:05 UTC 2024","Sun Apr 21 05:57:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Sun Apr 21 06:19:53 UTC 2024","Sun Apr 21 06:19:53 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Apr 21 06:56:00 UTC 2024","Sun Apr 21 06:56:15 UTC 2024","14530","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sun Apr 21 05:59:22 UTC 2024","Sun Apr 21 05:59:24 UTC 2024","1526","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sun Apr 21 05:59:24 UTC 2024","Sun Apr 21 05:59:42 UTC 2024","18203","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sun Apr 21 06:43:45 UTC 2024","Sun Apr 21 06:43:48 UTC 2024","2903","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sun Apr 21 06:01:32 UTC 2024","Sun Apr 21 06:01:33 UTC 2024","927","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sun Apr 21 06:43:50 UTC 2024","Sun Apr 21 06:43:55 UTC 2024","4400","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"skipped","Sun Apr 21 05:57:05 UTC 2024","Sun Apr 21 05:57:05 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Sun Apr 21 05:57:05 UTC 2024","Sun Apr 21 05:57:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sun Apr 21 06:49:26 UTC 2024","Sun Apr 21 06:49:39 UTC 2024","12840","","18. Check Admin header","","","","1. Log in using manager login",""
"failed","Sun Apr 21 06:29:45 UTC 2024","Sun Apr 21 06:32:50 UTC 2024","184671","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Sun Apr 21 05:57:05 UTC 2024","Sun Apr 21 05:57:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"broken","Sun Apr 21 05:57:05 UTC 2024","Sun Apr 21 05:57:05 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Apr 21 06:56:25 UTC 2024","Sun Apr 21 06:56:27 UTC 2024","2350","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"broken","Sun Apr 21 06:19:53 UTC 2024","Sun Apr 21 06:19:53 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"skipped","Sun Apr 21 08:27:15 UTC 2024","Sun Apr 21 08:27:15 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"skipped","Sun Apr 21 06:19:53 UTC 2024","Sun Apr 21 06:19:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"skipped","Sun Apr 21 06:19:53 UTC 2024","Sun Apr 21 06:19:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sun Apr 21 06:01:16 UTC 2024","Sun Apr 21 06:01:32 UTC 2024","15704","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sun Apr 21 06:43:48 UTC 2024","Sun Apr 21 06:43:50 UTC 2024","2351","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Apr 21 06:56:27 UTC 2024","Sun Apr 21 06:56:31 UTC 2024","4281","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun Apr 21 06:56:15 UTC 2024","Sun Apr 21 06:56:25 UTC 2024","9539","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Apr 21 07:30:28 UTC 2024","Sun Apr 21 07:30:49 UTC 2024","20888","","21. Forgot password function","","","","2. Reset password",""
